date,spx,dax
03/01/2000,1455.219971,6750.759766
04/01/2000,1399.420044,6586.950195
05/01/2000,1402.109985,6502.069824
06/01/2000,1403.449951,6474.919922
07/01/2000,1441.469971,6780.959961
10/01/2000,1457.599976,6925.52002
11/01/2000,1438.560059,6891.25
12/01/2000,1432.25,6912.810059
13/01/2000,1449.680054,6955.97998
14/01/2000,1465.150024,7173.220215
18/01/2000,1455.140015,7072.120117
19/01/2000,1455.900024,7091.040039
20/01/2000,1445.569946,7112.660156
21/01/2000,1441.359985,6992.75
24/01/2000,1401.530029,6931.990234
25/01/2000,1410.030029,6809.640137
26/01/2000,1404.089966,6969.370117
27/01/2000,1398.560059,7126.129883
28/01/2000,1360.160034,7066.600098
31/01/2000,1394.459961,6835.600098
01/02/2000,1409.280029,7050.459961
02/02/2000,1409.119995,7171.950195
03/02/2000,1424.969971,7354.259766
04/02/2000,1424.369995,7444.609863
07/02/2000,1424.23999,7296.319824
08/02/2000,1441.719971,7549.879883
09/02/2000,1411.709961,7629.109863
10/02/2000,1416.829956,7709.27002
11/02/2000,1387.119995,7611.549805
14/02/2000,1389.939941,7644.799805
15/02/2000,1402.050049,7396.129883
16/02/2000,1387.670044,7490.319824
17/02/2000,1388.26001,7580.529785
18/02/2000,1346.089966,7573.779785
22/02/2000,1352.170044,7607.939941
23/02/2000,1360.689941,7698.970215
24/02/2000,1353.430054,7640.529785
25/02/2000,1333.359985,7738.680176
28/02/2000,1348.050049,7587.129883
29/02/2000,1366.420044,7644.549805
01/03/2000,1379.189941,7727.930176
02/03/2000,1381.76001,7945.77002
03/03/2000,1409.170044,7960.029785
06/03/2000,1391.280029,7975.779785
07/03/2000,1355.619995,8064.970215
08/03/2000,1366.699951,7987
09/03/2000,1401.689941,7949.149902
10/03/2000,1395.069946,7975.950195
13/03/2000,1383.619995,7693.850098
14/03/2000,1359.150024,7650.049805
15/03/2000,1392.140015,7414.459961
16/03/2000,1458.469971,7583.959961
17/03/2000,1464.469971,7710.919922
20/03/2000,1456.630005,7872.379883
